country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,biomass_stock_2000_Mt,avg_biomass_per_ha_Mt,Year,Biomass Loss,co2_stock_2000_Mt,CO2 Emissions,gain_2000_2012_ha,Tree Cover Loss
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2001,0.13,117.2,0.24,926,1052
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2002,0.09,117.2,0.17,926,780
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2003,0.18,117.2,0.33,926,1505
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2004,0.07,117.2,0.12,926,571
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2005,0.15,117.2,0.27,926,1207
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2006,0.43,117.2,0.79,926,3634
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2007,0.11,117.2,0.21,926,908
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2008,0.84,117.2,1.54,926,6997
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2009,0.7,117.2,1.28,926,5808
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2010,0.19,117.2,0.34,926,1551
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2011,0.67,117.2,1.23,926,5471
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2012,0.11,117.2,0.2,926,957
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2013,0.12,117.2,0.22,926,1111
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2014,0.09,117.2,0.17,926,839
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2015,0.09,117.2,0.16,926,767
Mozambique,Cabo Delgado,Ancuabe,10,625605,602772,586662,63.93,0,2016,0.14,117.2,0.25,926,1210
